x;y;dX;dY;grounded;jumping;doubleJumping;wallJumpingLeft;wallJumpingRight;wallJumping;collision.left;collision.right;collision.top;collision.bottom 
32;444.4200000000002;-2.4862938119652505;19.24000000000001;false;false;false;false;false;false;false;false;false;true
31;443.4770000000002;-3.037664430768726;18.29700000000001;false;false;false;false;false;false;false;false;false;true
31;442.6283000000002;-3.5338979876918533;17.448300000000014;false;false;false;false;false;false;false;false;false;true
31;441.8644700000002;-3.980508188922668;16.684470000000015;false;false;false;false;false;false;false;false;false;true
31;441.1770230000002;-4.3824573700304015;15.997023000000015;false;false;false;false;false;false;false;false;false;true
31;440.5583207000002;-4.744211633027361;15.378320700000014;false;false;false;false;false;false;false;false;false;true
31;440.0014886300002;-5.069790469724625;14.821488630000013;false;false;false;false;false;false;false;false;false;true
347;444.4200000000002;4.5233476330273605;19.24000000000001;false;false;false;false;false;false;false;false;false;true
347;443.4770000000002;4.871012869724624;18.29700000000001;false;false;false;false;false;false;false;false;false;true
347;442.6283000000002;5.183911582752161;17.448300000000014;false;false;false;false;false;false;false;false;false;true
347;441.8644700000002;5.465520424476945;16.684470000000015;false;false;false;false;false;false;false;false;false;true
347;441.1770230000002;5.71896838202925;15.997023000000015;false;false;false;false;false;false;false;false;false;true
347;440.5583207000002;5.9470715438263255;15.378320700000014;false;false;false;false;false;false;false;false;false;true
347;440.0014886300002;6.152364389443693;14.821488630000013;false;false;false;false;false;false;false;false;false;true
692;690.7750000000003;-1.6618940391;29.050000000000026;false;false;false;false;false;false;false;false;false;true
750;694.4200000000002;-2.561000000000001;19.24000000000001;false;false;false;false;false;false;false;false;false;true
751;693.4770000000002;-1.5049000000000008;18.29700000000001;false;false;false;false;false;false;false;false;false;true
752;692.6283000000002;-0.5544100000000007;17.448300000000014;false;false;false;false;false;false;false;false;false;true
753;691.8644700000002;0.3010309999999994;16.684470000000015;false;false;false;false;false;false;false;false;false;true
754;691.1770230000002;1.0709278999999996;15.997023000000015;false;false;false;false;false;false;false;false;false;true
755;690.5583207000002;1.7638351099999996;15.378320700000014;false;false;false;false;false;false;false;false;false;true
756;690.0014886300002;2.387451599;14.821488630000013;false;false;false;false;false;false;false;false;false;true
994;580.981;-9;0.9810000000000001;false;false;false;false;false;false;false;false;false;true
994;581.8639;-8.9;1.8639000000000001;false;false;false;false;false;false;false;false;false;true
994;582.65851;-8.81;2.65851;false;false;false;false;false;false;false;false;false;true
994;583.373659;-8.729000000000001;3.373659;false;false;false;false;false;false;false;false;false;true
994;584.0172931;-8.656100000000002;4.0172931;false;false;false;false;false;false;false;false;false;true
994;584.59656379;-8.590490000000003;4.59656379;false;false;false;false;false;false;false;false;false;true
994;585.117907411;-8.531441000000003;5.117907411;false;false;false;false;false;false;false;false;false;true
994;585.5871166699;-8.478296900000004;5.5871166699;false;false;false;false;false;false;false;false;false;true
994;586.00940500291;-8.430467210000003;6.00940500291;false;false;false;false;false;false;false;false;false;true
994;586.389464502619;-8.387420489000004;6.389464502619;false;false;false;false;false;false;false;false;false;true
994;586.731518052357;-8.348678440100004;6.7315180523571;false;false;false;false;false;false;false;false;false;true
994;587.0393662471214;-8.313810596090004;7.03936624712139;false;false;false;false;false;false;false;false;false;true
994;587.3164296224093;-8.282429536481004;7.3164296224092515;false;false;false;false;false;false;false;false;false;true
994;587.5657866601683;-8.254186582832904;7.565786660168326;false;false;false;false;false;false;false;false;false;true
994;587.7902079941515;-8.228767924549615;7.790207994151494;false;false;false;false;false;false;false;false;false;true
994;587.9921871947363;-8.205891132094655;7.992187194736345;false;false;false;false;false;false;false;false;false;true
994;588.1739684752627;-8.18530201888519;8.173968475262711;false;false;false;false;false;false;false;false;false;true
994;588.3375716277365;-8.166771816996672;8.337571627736441;false;false;false;false;false;false;false;false;false;true
994;588.4848144649628;-8.150094635297005;8.484814464962797;false;false;false;false;false;false;false;false;false;true
994;588.6173330184665;-8.135085171767305;8.617333018466518;false;false;false;false;false;false;false;false;false;true
994;588.7365997166198;-8.121576654590575;8.736599716619866;false;false;false;false;false;false;false;false;false;true
994;588.8439397449579;-8.109418989131518;8.84393974495788;false;false;false;false;false;false;false;false;false;true
994;588.9405457704621;-8.098477090218367;8.940545770462093;false;false;false;false;false;false;false;false;false;true
996;589.0274911934159;-6.559766443076878;9.027491193415884;false;false;false;false;false;false;false;false;false;true
997;589.1057420740743;-5.3134108188922715;9.105742074074296;false;false;false;false;false;false;false;false;false;true
998;589.1761678666669;-3.9820697370030445;9.176167866666868;false;false;false;false;false;false;false;false;false;true
999;589.2395510800002;-2.78386276330274;9.239551080000181;false;false;false;false;false;false;false;false;false;true
999;580.981;-0.9054764869724661;0.9810000000000001;false;false;false;false;false;false;false;false;false;true
577;580.981;-2.923347633027361;0.9810000000000001;false;false;false;false;false;false;false;false;false;true
576;581.8639;-3.4310128697246247;1.8639000000000001;false;false;false;false;false;false;false;false;false;true
576;582.65851;-3.887911582752162;2.65851;false;false;false;false;false;false;false;false;false;true
576;583.373659;-4.299120424476946;3.373659;false;false;false;false;false;false;false;false;false;true
577;584.0172931;-3.4822875438263265;4.0172931;false;false;false;false;false;false;false;false;false;true
578;584.59656379;-2.8206529104993248;4.59656379;false;false;false;false;false;false;false;false;false;true
